ASIN,Product Title,Model/StyleNumber,Total Sales,Shipped COGS - % of Total,Shipped COGS - Prior Period,Shipped COGS - Last Year,Total Qty,Shipped Units - % of Total,Shipped Units - Prior Period,Shipped Units - Last Year,Customer Returns,Free Replacements,Date,Drop Ship Qty,Drop Ship Sales,Year,Month,Week,Category
B01M180BA6,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy",K6805-F1565,1626.13,0.0059,,23.19%,11.0,0.0037,,0.00%,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B071XYMXC2,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Rust and Cream Geometric",K6805-F2054,1617.2,0.0059,,,9.0,0.003,,,1.0,1.0,2020-01-17,,,2020,1,3,Dining Chairs
B01DGBYJU6,"HomePop Round Leatherette Storage Ottoman with Lid, Moss Green",K6862-E845,1604.66,0.0058,,-71.31%,23.0,0.0077,,-74.16%,1.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B07BYK1C5C,"HomePop Velvet Swoop Arm Accent Chair, Dark Green",K6499-B228,1577.84,0.005699999999999999,,106.25%,11.0,0.0037,,83.33%,1.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B00XQ9MLZY,"HomePop Velvet Tufted Storage Bench Settee with Hinged Lid, Deep Navy",K6211-B122,1552.14,0.005600000000000001,,-44.57%,9.0,0.003,,-55.00%,1.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B00ZPQKO8C,"HomePop Leatherette Tufted Square Storage Ottoman with Hinged Lid, Red",N5762-E607,1535.56,0.005600000000000001,,0.86%,24.0,0.008,,-11.11%,0.0,2.0,2020-01-17,,,2020,1,3,Storage Ottomans
B07C6DF8NM,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Suri Blue",K6805-A750,1528.29,0.0055000000000000005,,,9.0,0.003,,,1.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B07BZ1K3W2,"HomePop Velvet Swoop Arm Accent Chair, Cream",K6499-B247,1527.12,0.0055000000000000005,,68.75%,12.0,0.004,,50.00%,1.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B01LZ0XK5R,"HomePop  Swoop Arm Accent Chair, Grey Floral Tree",K6499-F1598,1485.0,0.0054,,,12.0,0.004,,,5.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B07583RPSL,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Taupe and Cream Medallion",K6805-A793,1455.48,0.0053,,237.50%,8.0,0.0027,,166.67%,0.0,1.0,2020-01-17,,,2020,1,3,Dining Chairs
B00YLB47FI,"HomePop Upholstered Entryway Bench with Wood Shelf, Orange Suzani",K6410-F1423,1435.48,0.0052,,,12.0,0.004,,,0.0,0.0,2020-01-17,,,2020,1,3,Decorative Benches
B06ZZ75571,"HomePop Velvet Tufted Ottoman with Metal Base, White",K6958-B118,1434.46,0.0052,,-20.31%,17.0,0.005699999999999999,,-29.17%,2.0,0.0,2020-01-17,,,2020,1,3,Decorative Ottomans
B00J8VMV9A,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Purple",K6171-B204,1418.64,0.0051,,-32.50%,23.0,0.0077,,-37.84%,2.0,1.0,2020-01-17,,,2020,1,3,Storage Ottomans
B07585WKTH,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Dark Grey Velvet",K6805-B229,1417.5,0.0051,,44.64%,9.0,0.003,,50.00%,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B071Y7XXRW,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Yellow Damask",K6805-A751,1417.5,0.0051,,,9.0,0.003,,,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B005TX6084,"HomePop Faux Leather Square Storage Ottoman Coffee Table with Wood Legs, Black",K2380-E169,1378.1,0.005,,-41.36%,20.0,0.0067,,-57.45%,4.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B06ZZS6WMH,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy and Cream Geometric -",K6805-F2051,1373.52,0.005,,855.49%,8.0,0.0027,,700.00%,1.0,1.0,2020-01-17,,,2020,1,3,Dining Chairs
B07CZDSDC2,"HomePop Faux Leather Button Tufted Decorative Bench with Metal Base,  Brown",K7116-YDQY-2,1361.25,0.0049,,,11.0,0.0037,,,3.0,0.0,2020-01-17,,,2020,1,3,Decorative Benches
B01LYNXUEC,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Gray Velvet",K6805-B214,1350.0,0.0049,,"1,025.00%",9.0,0.003,,800.00%,0.0,1.0,2020-01-17,,,2020,1,3,Dining Chairs
B00GKS4S8Q,"HomePop Large Button Tufted Round Storage Ottoman, Tan and Cream Tweed",N8264-F1077,1314.78,0.0048,,-4.38%,17.0,0.005699999999999999,,-15.00%,5.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B079S77RC5,"HomePop Barrel Shaped Accent Chair, Grey Medallion",K6859-A832,1280.79,0.0046,,,9.0,0.003,,,0.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B071QXXTV6,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Pewter Grey and Lattice Cream",K6805-F2061,1260.0,0.0046,,,8.0,0.0027,,,4.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B071QXXCGG,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Brown",K6805-F2004,1260.0,0.0046,,125.00%,8.0,0.0027,,100.00%,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B06ZY2PZC6,"HomePop Velvet Tufted Ottoman with Metal Base, Teal",K6958-B203,1257.26,0.0046,,4.77%,14.0,0.004699999999999999,,-12.50%,0.0,1.0,2020-01-17,,,2020,1,3,Decorative Ottomans
B071Z26TV6,"HomePop Large Upholstered Rectangular Storage Ottoman Bench with Hinged Lid, Teal Blue Geometric",K6384NP-F2055,1255.87,0.0046,,-22.65%,11.0,0.0037,,-26.67%,0.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B06ZZ753T1,"HomePop Velvet Swoop Arm Accent Chair, Tan",K6499-B117,1242.23,0.0045000000000000005,,552.91%,9.0,0.003,,350.00%,1.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B071VLNVD9,"HomePop Upholstered Storage Cube Ottoman with Hinged Lid, Orange Geometric",K7380-F1447,1215.12,0.0044,,-75.23%,24.0,0.008,,-77.98%,0.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B079S1LJ45,"HomePop Round Upholstered Storage Ottoman, Grey Medallion",K7703-A832,1181.32,0.0043,,,14.0,0.004699999999999999,,,0.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B07FZN5N9H,"HomePop Large Button Tufted Round Storage Ottoman, Light Tan",N8264-F2207,1181.32,0.0043,,,14.0,0.004699999999999999,,,5.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B07DPQYZH8,"HomePop Faux Fur Poof , White",K7658-B227,1181.25,0.0043,,,15.0,0.005,,,1.0,0.0,2020-01-17,,,2020,1,3,Decorative Ottomans
B012K3DG1O,"HomePop Velvet Tufted Storage Bench Settee with Hinged Lid, Grey",K6211-B214,1154.88,0.0042,,,6.0,0.002,,,0.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B00OCXLIJ8,"HomePop Parsons Upholstered Accent Dining Chair, Set of 2, Orange Suzani",N6354-F1423,1118.38,0.0040999999999999995,,-40.15%,7.0,0.0023,,-46.15%,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B075849CKJ,"HomePop Youth Chaise Lounge with White Wood Legs, Gray Velvet",K5618-B214,1113.75,0.004,,,8.0,0.0027,,,3.0,1.0,2020-01-17,,,2020,1,3,Juvenile
B0716RD4HZ,"HomePop Large Upholstered Rectangular Storage Ottoman Bench with Hinged Lid, Grey Geometric",K6384NP-F2052,1091.52,0.004,,102.49%,9.0,0.003,,80.00%,1.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B07585JGRY,"HomePop Faux Fur Decorative Square Ottoman with Metal Hairpin Legs, Grey",K7573-B234,1075.76,0.0039000000000000003,,139.06%,17.0,0.005699999999999999,,112.50%,1.0,0.0,2020-01-17,,,2020,1,3,Decorative Ottomans
B07FHMRQDW,"Spatial Order Half-Moon Modern Metal and Glass Accent Table, Gold",K7351-J014,1075.2,0.0039000000000000003,,,24.0,0.008,,,2.0,0.0,2020-01-17,,,2020,1,3,Accent tables
B07DPRCDW5,"HomePop Upholstered Round Storage Ottoman with LId, Bold Paisley",K6427-A727,1067.69,0.0039000000000000003,,,13.0,0.0043,,,1.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B075849CKB,"HomePop Velvet Tufted Storage Bench Settee with Hinged Lid, Dark Grey",K6211-B229,1054.68,0.0038,,237.50%,6.0,0.002,,200.00%,1.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B07BZ1S2XD,"HomePop Swoop Arm Accent Chair, Tan Damask",K6499-A793,1004.08,0.0036,,293.76%,7.0,0.0023,,250.00%,0.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B00OCW235W,"HomePop Velvet Tufted Storage Bench Settee with Hinged Lid, Purple",K6211-B204,989.31,0.0036,,-39.42%,6.0,0.002,,-53.85%,1.0,1.0,2020-01-17,,,2020,1,3,Storage Benches
B00R56NL76,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Navy",K6171-B215,978.75,0.0036,,237.50%,14.0,0.004699999999999999,,180.00%,1.0,1.0,2020-01-17,,,2020,1,3,Storage Ottomans
B06ZZS6TPM,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy",K6805-F1570,929.25,0.0034000000000000002,,,7.0,0.0023,,,1.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B06ZZS6N79,"HomePop Velvet Tufted Ottoman with Metal Base, Blue",K6958-B123,928.18,0.0034000000000000002,,-27.20%,11.0,0.0037,,-35.29%,0.0,0.0,2020-01-17,,,2020,1,3,Decorative Ottomans
B071XZ2VQ6,"HomePop Parsons Classic Upholstered Accent Dining Chair,  Single Pack, Brown Sage Leaf",K1136-F975,914.03,0.0033,,,13.0,0.0043,,,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B07P1DF5R4,"HomePop Swoop Arm Accent Chair, Blue Trellis",K6499-A823,903.72,0.0033,,,6.0,0.002,,,0.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B00HRX0FJ4,"HomePop Upholstered Round Storage Ottoman with Lid, Black and White Medallion",K6427-F1604,901.8,0.0033,,-74.51%,12.0,0.004,,-79.31%,0.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B07582BBTW,"HomePop Faux Fur Square  Stool with Metal Legs, White",K7225-B227,896.43,0.0033,,-68.82%,13.0,0.0043,,-71.11%,5.0,0.0,2020-01-17,,,2020,1,3,Decorative Ottomans
B071RZX2YN,"HomePop Modern Square Metal X-Base Ottoman, Tan and Cream Awning Stripe",K7401-F2060,858.34,0.0031,,213.89%,14.0,0.004699999999999999,,180.00%,0.0,0.0,2020-01-17,,,2020,1,3,Decorative Ottomans
B07CCFTSSB,"HomePop Round Tweed Storage Ottoman, Green Tweed",K7716-F2296,854.16,0.0031,,,12.0,0.004,,,0.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B07585JGRF,"HomePop Upholstered Counter Height Barstool, 24-inch, Navy and Cream Geometric",K6858.24-F2051,848.0,0.0031,,-54.37%,10.0,0.0033,,-58.33%,1.0,0.0,2020-01-17,,,2020,1,3,Barstools
B071XYMXC3,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Grey and Cream Geometric",K6805-F2052,808.6,0.0029,,29.03%,5.0,0.0017000000000000001,,-16.67%,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B06ZZS6WMH,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy and Cream Geometric -",K6805-F2051,808.6,0.0029,,,5.0,0.0017000000000000001,,,1.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B00MYV5FIK,"HomePop Velvet Tufted Storage Bench Settee with Hinged Lid, Berry",K6211-B119,787.5,0.0029,,12.50%,5.0,0.0017000000000000001,,0.00%,0.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B079S8ZHTQ,"HomePop Open Back Counter Height Barstool, 24.5 inch, Black Plaid",K7699.24-F2262,785.54,0.0028000000000000004,,,6.0,0.002,,,0.0,1.0,2020-01-17,,,2020,1,3,Barstools
B07CCGLSSQ,"HomePop Parsons Upholstered Accent Dining Chair, Set of 2, Dark Brown Faux Leather",N6354-E074,742.5,0.0027,,,6.0,0.002,,,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B07D11DH3L,"HomePop Backless Barstool Metal Frame Barstool, 24-inch, Wicker Grey",K7651.24-F2261,731.3,0.0027,,,10.0,0.0033,,,0.0,0.0,2020-01-17,,,2020,1,3,Barstools
B071NTWHWD,"HomePop Large Upholstered Rectangular Storage Ottoman Bench with Hinged Lid, Green Geometric",K6384NP-F2053,727.68,0.0026,,34.99%,6.0,0.002,,20.00%,1.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B002HWS7WW,"HomePop Youth Wing Back Chair, Dark Brown Faux Leather",K3334-E155,717.75,0.0026,,,15.0,0.005,,,8.0,0.0,2020-01-17,,,2020,1,3,Juvenile
B00FAQK8K6,"HomePop  Rectangular Deep Storage Ottoman with Hinged Lid, Tan Linen",K6377-F1326,717.75,0.0026,,"1,047.48%",11.0,0.0037,,"1,000.00%",0.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B079SFGYPY,"HomePop Velvet Swoop Arm Accent Chair, Dark Gray",K6499-B229,717.2,0.0026,,12.50%,5.0,0.0017000000000000001,,0.00%,0.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B002HWS7Y0,"HomePop Leatherette Tufted Square Storage Ottoman with Hinged Lid, Brown",N5762-E155,714.42,0.0026,,,21.0,0.006999999999999999,,,0.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B00F39DTQA,"HomePop Upholstered Large Round Button Tufted Storage Ottoman with Removable Lid, Red",K6206-F409,708.78,0.0026,,-55.00%,6.0,0.002,,-60.00%,1.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B01DGBYYW4,"HomePop Leatherette Square Tufted Backless Counter Height Stool, 24-inch, Charcoal Grey",K4286-E844,705.12,0.0026,,,12.0,0.004,,,0.0,0.0,2020-01-17,,,2020,1,3,Barstools
B01BULIMC0,"HomePop Velvet Tufted Storage Bench Settee with Hinged Lid, Tan",K6211-B117,703.12,0.0026,,-73.53%,4.0,0.0013,,-75.00%,0.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B06ZYXMN83,"HomePop Parsons Classic Upholstered Accent Dining Chair, Single Pack, Yellow",K6805-F2091,696.06,0.0025,,-46.97%,10.0,0.0033,,-50.00%,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B00YSQORGU,"HomePop Linen Storage Bench with Nailhead Trim and Hinged Lid,Tan",K5668NP-F1399,693.04,0.0025,,-68.96%,8.0,0.0027,,-72.41%,0.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B07C6F2G76,"HomePop Ainsley Linen Button Tufted Storage Bench with Hinged Lid, Tan",K6138-F2207,689.88,0.0025,,,6.0,0.002,,,1.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B079S8ZHTQ,"HomePop Open Back Counter Height Barstool, 24.5 inch, Black Plaid",K7699.24-F2262,673.32,0.0024,,,6.0,0.002,,,0.0,0.0,2020-01-17,,,2020,1,3,Barstools
B07CVX8C8S,"HomePop Upholstered Counter Height Barstool,  24-Inch, Suri Blue",K6858.24-A750,673.32,0.0024,,,6.0,0.002,,,4.0,0.0,2020-01-17,,,2020,1,3,Barstools
B071XYMXC3,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Grey and Cream Geometric",K6805-F2052,646.88,0.0023,,3.22%,4.0,0.0013,,-33.33%,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B07BZ1K3W2,"HomePop Velvet Swoop Arm Accent Chair, Cream",K6499-B247,636.3,0.0023,,,5.0,0.0017000000000000001,,,0.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B071Y7Q1YD,"HomePop Parsons Classic Upholstered Accent Dining Chair, Single Pack, Dark Blue",K6805-F2088,632.79,0.0023,,912.46%,9.0,0.003,,800.00%,1.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B06ZZHNJ6D,"HomePop Parsons Classic Upholstered Accent Dining Chair, Single Pack, Teal",K6805-F2092,632.79,0.0023,,237.49%,9.0,0.003,,200.00%,1.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B071Y8LVFP,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Gray",K6805-A755,630.0,0.0023,,350.00%,4.0,0.0013,,300.00%,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B07P4Q3DSW,"HomePop Bedford Large Velvet Decorative Bench with Pillow Top, Emerald Green",K7119-B276,613.2,0.0022,,,4.0,0.0013,,,0.0,0.0,2020-01-17,,,2020,1,3,Decorative Benches
